GroupID,Category,Term,Description,LogP,Log(q-value),InTerm_InList,Genes,Symbols,Type
11_Summary,GO Biological Processes,GO:0007017,microtubule-based process,-5.6592699,-3.815,"31248,32518,32535,33130,33136,33334,33412,34158,34944,34946,35166,35293,35438,35757,36706,37125,37179,37238,37402,37518,37618,37673,37841,38480,38751,38762,39598,39668,40126,40232,40702,40982,41440,41446,41481,42186,42524,42955,43359,43739,44072,44086,44870,45269,47877,49260,53439,318227,318666,318949,3355126,5740212,33834,33835,34245,34404,35095,35526,35713,36775,36975,37325,37368,40506,41034,41341,41670,41885,42066,42761,43490,44724,3772646,33226,33661,37808,41850,44289,31359,32623,33444,33619,35596,37387,38487","31248,32518,32535,33130,33136,33334,33412,34158,34944,34946,35166,35293,35438,35757,36706,37125,37179,37238,37402,37518,37618,37673,37841,38480,38751,38762,39598,39668,40126,40232,40702,40982,41440,41446,41481,42186,42524,42955,43359,43739,44072,44086,44870,45269,47877,49260,53439,318227,318666,318949,3355126,5740212,33834,33835,34245,34404,35095,35526,35713,36775,36975,37325,37368,40506,41034,41341,41670,41885,42066,42761,43490,44724,3772646,33226,33661,37808,41850,44289,31359,32623,33444,33619,35596,37387,38487","sgg,CCT6,CG8509,tilB,Cp110,halo,robl22E,Rcd4,CG10839,BicC,robl37BC,neb,CG10834,CG14763,SRPK,Dnaaf3,CG18190,betaTub56D,mago,CG13502,CycB,CG13544,tsr,Dpy-30L2,Rsph3,Mis12,Dnaaf6,CG7276,Rcd7,polo,CG2104,Sgt1,Dnali1,aurA,Rsbp15,14-3-3epsilon,Rab1,CG6980,betaTub97EF,awd,Ran,DCTN2-p50,sub,Prosbeta5,tws,Pp1-87B,pont,CG32819,CG31294,CG31802,CG17493,CG34274,chic,eIF4A,borr,pim,CG5790,Act42A,U2A,Rho1,APC10,Nnf1a,Act57B,Arf1,Cks85A,Tctp,B52,Act88F,cher,RpS3,Bub3,san,mei-218,lwr,HP6,fzr2,MRG15,flw,cib,Arp2,Arpc5,ed,coro,cpa,CG14995",DE I
9_Summary,GO Biological Processes,GO:0007017,microtubule-based process,-3.785759,-1.77,31/483,"32,518,331,363,489,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","CCT6,Cp110,yuri,Tektin-A,CG14763,CG8407,CG18190,CG9313,CG13502,CycB,Rsph4a,Hsp83,CG5048,Rcd7,polo,alphaTub84B,Sgt1,Dnali1,aurA,Rsbp15,hmw,CG17083,CG6980,CG15547,Ran,tws,Pp1-87B,pont,CG32819,CG31802,CG31275",DNB II
4_Summary,GO Biological Processes,GO:0007099,centrosome cycle,-3.0431739,-0.074,3月26日,"331,363,415,831,894,000,000","Cp110,Rcd4,CG31802,Rcd7",DE II
2_Summary,GO Biological Processes,GO:0007098,centrosome cycle,-3.2975145,-0.211,5/73,"33,136,341,584,012,600,000,000,000","Cp110,Rcd4,Rcd7,tws,CG31802",Gradient
16_Summary,GO Biological Processes,GO:0048232,male gamete generation,-3.9307267,-2.25,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"Imp,Hsp60C,SmB,porin,spag4,kmg,Prosalpha6T,ProtA,ProtB,U2A,CSN7,achi,Dnaaf3,mip40,exu,CycB,fzr2,Rsph3,CG14835,nes,Rcd7,polo,Arf1,soti,Mst89B,Tssk,Rab1,CG6980,fan,nmd,slmo,sub,Mst98Ca,Tpl94D,CG31294,Mst36Fa,ste24c,CG34274",DE I
13_Summary,GO Biological Processes,GO:0048232,male gamete generation,-4.0151032,-2.254,30/363,"3,379,634,244,344,260,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Hsp60C,aust,SmB,Bug22,Yip1d1,kmg,nht,Cyt-c-d,achi,wuc,tra2,CG17669,exu,fzr2,eIF4E3,Rcd7,Past1,soti,Mst89B,Cby,bond,tbrd-1,CG6980,mil,fan,mei-P26,fbl,Mst98Ca,gish,RacGAP84C",DNB I
16_Summary,GO Biological Processes,GO:0007291,sperm individualization,-2.6334459,-0.935,7/58,"340,143,489,434,995,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","gudu,yuri,Cyt-c-d,nes,soti,hmw,gish,Hsp60C,nht,ATPsynbetaL,Rcd7,polo,Mst89B,CG6980,ALiX,Mst98Ca,Mst36Fa,ste24c",DNB II
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
