Gene,Sample,IP2IN
LOC26534122,Tm_H4K16AC,0.692892
LOC26534122,Hm_H3K9me2,6.81959
LOC26534122,Tm_H4K20me3,0.488136
LOC26534122,Tm_H3K9me2,5.79111
LOC26534122,Hm_H4K16AC,0.863445
LOC4812150,Hm_H4K20me3,1.17413
LOC4812150,Hm_H4K16AC,3.72196
LOC4812150,Tm_H4K20me3,1.69601
LOC4812150,Tm_H3K9me2,1.25221
LOC4812150,Tm_H4K16AC,1.92063
LOC4812150,Hm_H3K9me2,1.17271
LOC26533459,Tm_H4K16AC,1.659
LOC26533459,Tm_H3K9me2,1.08016
LOC26533459,Tm_H4K20me3,1.32124
LOC26533459,Hm_H4K20me3,1.06752
LOC26533459,Hm_H3K9me2,0.976444
LOC26533459,Hm_H4K16AC,1.96572
LOC4817941,Tm_H4K20me3,1.2556
LOC4817941,Hm_H4K20me3,1.16888
LOC4817941,Hm_H3K9me2,1.19513
LOC4817941,Tm_H3K9me2,0.927937
LOC4817941,Tm_H4K16AC,1.14412
LOC4817941,Hm_H4K16AC,1.30965
LOC4817813,Hm_H3K9me2,1.05953
LOC4817813,Tm_H3K9me2,1.03928
LOC4817813,Hm_H4K16AC,1.15756
LOC4817813,Hm_H4K20me3,1.12443
LOC4817813,Tm_H4K20me3,1.03333
LOC4817813,Tm_H4K16AC,1.11158
LOC4818070,Hm_H4K20me3,0.693237
LOC4818070,Hm_H3K9me2,0.892542
LOC4818070,Tm_H4K20me3,0.861465
LOC4818070,Hm_H4K16AC,0.827757
LOC4818070,Tm_H4K16AC,0.92821
LOC4818070,Tm_H3K9me2,0.90189
LOC6903503,Hm_H4K20me3,0.753579
LOC6903503,Tm_H3K9me2,0.981862
LOC6903503,Tm_H4K16AC,0.822597
LOC6903503,Hm_H4K16AC,0.727704
LOC6903503,Hm_H3K9me2,0.945656
LOC6903503,Tm_H4K20me3,0.718125
LOC4804154,Tm_H3K9me2,0.550009
LOC4804154,Hm_H3K9me2,0.94133
LOC4804154,Hm_H4K20me3,0.996923
LOC4804154,Hm_H4K16AC,0.849234
LOC4804154,Tm_H4K20me3,0.838165
LOC4804154,Tm_H4K16AC,1.09173
LOC4817187,Hm_H4K20me3,1.24581
LOC4817187,Tm_H4K20me3,1.39185
LOC4817187,Hm_H4K16AC,1.23222
LOC4817187,Hm_H3K9me2,1.04915
LOC4817187,Tm_H4K16AC,0.864782
LOC4817187,Tm_H3K9me2,0.967444
LOC4802680,Hm_H4K20me3,1.01038
LOC4802680,Hm_H4K16AC,0.984409
LOC4802680,Tm_H3K9me2,0.637116
LOC4802680,Tm_H4K20me3,0.782231
LOC4802680,Tm_H4K16AC,1.53385
LOC4802680,Hm_H3K9me2,1.00457
LOC4802260,Hm_H4K16AC,2.148
LOC4802260,Tm_H3K9me2,1.36204
LOC4802260,Tm_H4K20me3,1.92166
LOC4802260,Hm_H3K9me2,1.08643
LOC4802260,Hm_H4K20me3,1.53909
LOC4802260,Tm_H4K16AC,0.707599
LOC4816707,Hm_H3K9me2,1.12956
LOC4816707,Tm_H3K9me2,1.07587
LOC4816707,Hm_H4K20me3,1.67824
LOC4816707,Tm_H4K16AC,0.760443
LOC4816707,Hm_H4K16AC,0.64427
LOC4816707,Tm_H4K20me3,1.13904
LOC117183959,Tm_H4K20me3,1.28977
LOC117183959,Hm_H4K16AC,0.728238
LOC117183959,Hm_H4K20me3,1.37909
LOC117183959,Tm_H3K9me2,1.29439
LOC117183959,Tm_H4K16AC,0.76027
LOC117183959,Hm_H3K9me2,1.32118
LOC4814592,Hm_H4K16AC,0.828656
LOC4814592,Tm_H3K9me2,0.490749
LOC4814592,Tm_H4K16AC,1.71195
LOC4814592,Hm_H4K20me3,0.980195
LOC4814592,Tm_H4K20me3,0.599563
LOC4814592,Hm_H3K9me2,1.01423
LOC6898668,Tm_H4K16AC,1.54331
LOC6898668,Tm_H3K9me2,1.27157
LOC6898668,Hm_H4K20me3,1.93489
LOC6898668,Tm_H4K20me3,1.25895
LOC6898668,Hm_H3K9me2,2.44014
LOC6898668,Hm_H4K16AC,1.58278
LOC6898669,Tm_H4K16AC,0.912507
LOC6898669,Tm_H3K9me2,0.898865
LOC6898669,Hm_H4K16AC,0.693846
LOC6898669,Tm_H4K20me3,0.920928
LOC6898669,Hm_H3K9me2,0.953543
LOC6898669,Hm_H4K20me3,1.00274
LOC4805687,Hm_H3K9me2,1.52039
LOC4805687,Tm_H3K9me2,1.51871
LOC4805687,Tm_H4K20me3,2.66494
LOC4805687,Tm_H4K16AC,0.844958
LOC4805687,Hm_H4K20me3,1.13896
LOC4805687,Hm_H4K16AC,2.61594
LOC4803297,Hm_H4K16AC,0.711804
LOC4803297,Tm_H3K9me2,0.731594
LOC4803297,Hm_H4K20me3,0.833981
LOC4803297,Hm_H3K9me2,0.994788
LOC4803297,Tm_H4K16AC,0.952444
LOC4803297,Tm_H4K20me3,0.488315
LOC4814884,Hm_H3K9me2,0.982479
LOC4814884,Tm_H4K20me3,0.897529
LOC4814884,Hm_H4K20me3,0.661073
LOC4814884,Hm_H4K16AC,3.22607
LOC4814884,Tm_H4K16AC,2.49109
LOC4814884,Tm_H3K9me2,0.936479
LOC4815382,Tm_H3K9me2,1.73692
LOC4815382,Tm_H4K20me3,1.55713
LOC4815382,Hm_H4K16AC,3.92557
LOC4815382,Tm_H4K16AC,2.37527
LOC4815382,Hm_H3K9me2,1.7861
LOC4815382,Hm_H4K20me3,1.8566
LOC4817298,Hm_H4K20me3,0.749234
LOC4817298,Tm_H3K9me2,1.00395
LOC4817298,Tm_H4K16AC,0.981061
LOC4817298,Hm_H4K16AC,0.859742
LOC4817298,Tm_H4K20me3,0.703877
LOC4817298,Hm_H3K9me2,0.969923
LOC4812415,Tm_H4K16AC,2.22837
