Gene,Sample,IP2IN
LOC6903334,Hm_H4K20me3,0.700318
LOC6903334,Tm_H3K9me2,0.837774
LOC6903334,Hm_H4K16AC,1.39998
LOC6903334,Tm_H4K16AC,1.27664
LOC4817897,Hm_H4K20me3,1.06811
LOC4817897,Tm_H4K20me3,1.06015
LOC4817897,Tm_H4K16AC,0.945583
LOC4817897,Hm_H4K16AC,0.775196
LOC4817897,Tm_H3K9me2,0.997488
LOC4817897,Hm_H3K9me2,0.993439
LOC4817868,Hm_H3K9me2,0.927377
LOC4817868,Tm_H4K20me3,1.18251
LOC4817868,Tm_H3K9me2,1.20022
LOC4817868,Tm_H4K16AC,0.965247
LOC4817868,Hm_H4K20me3,0.977845
LOC4817868,Hm_H4K16AC,0.849744
LOC4817884,Hm_H4K20me3,1.15319
LOC4817884,Tm_H4K20me3,1.84584
LOC4817884,Tm_H4K16AC,0.88811
LOC4817884,Hm_H3K9me2,1.02497
LOC4817884,Tm_H3K9me2,1.41904
LOC4817884,Hm_H4K16AC,1.2141
LOC4818010,Hm_H4K16AC,0.997545
LOC4818010,Tm_H3K9me2,0.831825
LOC4818010,Hm_H4K20me3,1.20053
LOC4818010,Tm_H4K20me3,1.10235
LOC4818010,Hm_H3K9me2,0.974209
LOC4818010,Tm_H4K16AC,1.05406
LOC4818150,Hm_H4K16AC,0.91896
LOC4818150,Hm_H3K9me2,1.0274
LOC4818150,Tm_H4K16AC,0.9993
LOC4818150,Hm_H4K20me3,1.00627
LOC4818150,Tm_H3K9me2,0.998218
LOC4818150,Tm_H4K20me3,1.0982
LOC4818158,Tm_H3K9me2,0.831734
LOC4818158,Hm_H4K20me3,1.14593
LOC4818158,Hm_H4K16AC,0.88841
LOC4818158,Hm_H3K9me2,0.933387
LOC4818158,Tm_H4K16AC,1.27557
LOC4818158,Tm_H4K20me3,0.840533
LOC4818045,Tm_H4K16AC,1.18757
LOC4818045,Tm_H4K20me3,1.02103
LOC4818045,Hm_H4K16AC,0.749674
LOC4818045,Hm_H4K20me3,1.30476
LOC4818045,Tm_H3K9me2,0.517703
LOC4818045,Hm_H3K9me2,0.879842
LOC4817859,Tm_H4K20me3,0.653248
LOC4817859,Tm_H3K9me2,0.629176
LOC4817859,Hm_H3K9me2,1.08712
LOC4817859,Hm_H4K16AC,0.79327
LOC4817859,Tm_H4K16AC,1.27701
LOC4817859,Hm_H4K20me3,0.952749
LOC4817875,Hm_H4K16AC,1.35633
LOC4817875,Hm_H4K20me3,0.893477
LOC4817875,Tm_H4K20me3,1.34666
LOC4817875,Hm_H3K9me2,0.939326
LOC4817875,Tm_H4K16AC,0.96624
LOC4817875,Tm_H3K9me2,1.03657
LOC4817883,Hm_H4K20me3,1.11381
LOC4817883,Tm_H4K20me3,0.909964
LOC4817883,Tm_H4K16AC,1.86399
LOC4817883,Hm_H4K16AC,0.588991
LOC4817883,Tm_H3K9me2,0.659536
LOC4817883,Hm_H3K9me2,0.645572
LOC4817915,Hm_H4K20me3,1.05657
LOC4817915,Tm_H4K16AC,1.19152
LOC4817915,Tm_H3K9me2,0.968134
LOC4817915,Tm_H4K20me3,1.06871
LOC4817915,Hm_H4K16AC,0.864071
LOC4817915,Hm_H3K9me2,1.05707
LOC4818120,Hm_H4K20me3,1.06099
LOC4818120,Tm_H4K20me3,0.9018
LOC4818120,Hm_H4K16AC,1.20613
LOC4818120,Hm_H3K9me2,1.16619
LOC4818120,Tm_H3K9me2,0.863174
LOC4818120,Tm_H4K16AC,1.43836
LOC4818162,Tm_H4K16AC,1.14927
LOC4818162,Hm_H4K20me3,1.04113
LOC4818162,Hm_H3K9me2,1.05223
LOC4818162,Hm_H4K16AC,0.858737
LOC4818162,Tm_H3K9me2,0.783451
LOC4818162,Tm_H4K20me3,1.21389
LOC4818056,Hm_H3K9me2,0.79258
LOC4818056,Tm_H4K16AC,1.44095
LOC4818056,Tm_H4K20me3,0.356494
LOC4818056,Tm_H3K9me2,0.503177
LOC4818056,Hm_H4K16AC,0.50863
LOC4818056,Hm_H4K20me3,0.757056
LOC4817847,Hm_H4K20me3,0.821214
LOC4817847,Hm_H3K9me2,0.7605
LOC4817847,Tm_H4K20me3,0.764947
LOC4817847,Tm_H3K9me2,0.857002
LOC4817847,Hm_H4K16AC,0.472393
LOC4817847,Tm_H4K16AC,1.2796
LOC4817942,Hm_H4K20me3,0.793426
LOC4817942,Hm_H3K9me2,0.783056
LOC4817942,Tm_H4K20me3,0.634743
LOC4817942,Tm_H4K16AC,1.24313
LOC4817942,Hm_H4K16AC,0.909316
LOC4817942,Tm_H3K9me2,0.644263
LOC4818151,Hm_H4K16AC,0.683401
LOC4818151,Hm_H4K20me3,0.778354
LOC4818151,Tm_H4K16AC,1.15602
LOC4818151,Hm_H3K9me2,0.803921
LOC4818151,Tm_H3K9me2,0.792379
LOC4818151,Tm_H4K20me3,0.69602
LOC4818177,Hm_H3K9me2,1.66218
LOC4818177,Tm_H4K20me3,1.42522
LOC4818177,Hm_H4K16AC,1.42736
LOC4818177,Tm_H3K9me2,1.32347
LOC4818177,Tm_H4K16AC,1.37582
LOC4818177,Hm_H4K20me3,1.7467
LOC4818175,Hm_H3K9me2,1.61782
LOC4818175,Tm_H4K16AC,0.869855
LOC4818175,Tm_H3K9me2,1.65496
LOC4818175,Hm_H4K16AC,2.749
LOC4818175,Hm_H4K20me3,1.36197
LOC4818175,Tm_H4K20me3,1.86461
LOC4816156,Hm_H4K20me3,0.844555
LOC4816156,Tm_H4K16AC,0.988176
LOC4816156,Hm_H4K16AC,2.1516
LOC4816156,Tm_H3K9me2,1.73808
LOC4816156,Tm_H4K20me3,1.28412
LOC4816156,Hm_H3K9me2,0.942567
LOC4816155,Hm_H4K20me3,1.02944
LOC4816155,Tm_H3K9me2,1.65034
LOC4816155,Tm_H4K16AC,0.974597
LOC4816155,Tm_H4K20me3,1.65885
LOC4816155,Hm_H4K16AC,1.58679
LOC4816155,Hm_H3K9me2,1.34288
LOC4816248,Hm_H3K9me2,1.01121
LOC4816248,Hm_H4K16AC,1.43376
LOC4816248,Tm_H4K20me3,1.03673
LOC4816248,Tm_H4K16AC,1.15653
LOC4816248,Hm_H4K20me3,0.995649
LOC4816248,Tm_H3K9me2,0.964837
LOC4816246,Hm_H3K9me2,1.22125
LOC4816246,Hm_H4K16AC,1.71037
LOC4816246,Hm_H4K20me3,1.15288
LOC4816246,Tm_H4K20me3,1.0664
LOC4816246,Tm_H4K16AC,0.945692
LOC4816246,Tm_H3K9me2,1.43399
LOC4816245,Hm_H3K9me2,1.22505
LOC4816245,Tm_H4K20me3,1.30232
LOC4816245,Tm_H3K9me2,1.69441
LOC4816245,Hm_H4K16AC,0.970869
LOC4816245,Hm_H4K20me3,1.48962
LOC4816245,Tm_H4K16AC,0.825214
LOC4816244,Hm_H3K9me2,1.68124
LOC4816244,Hm_H4K20me3,1.61184
LOC4816244,Tm_H4K16AC,0.949849
LOC4816244,Hm_H4K16AC,1.42982
LOC4816244,Tm_H3K9me2,1.3764
LOC4816244,Tm_H4K20me3,1.28641
LOC4816243,Hm_H4K20me3,1.90467
LOC4816243,Hm_H3K9me2,1.75999
LOC4816243,Tm_H4K16AC,0.978375
LOC4816243,Tm_H3K9me2,1.07881
LOC4816243,Tm_H4K20me3,0.990604
LOC4816243,Hm_H4K16AC,1.55267
LOC4816238,Hm_H4K20me3,1.59019
LOC4816238,Tm_H4K16AC,0.805305
LOC4816238,Hm_H4K16AC,1.45707
LOC4816238,Hm_H3K9me2,1.30862
LOC4816238,Tm_H3K9me2,1.14736
LOC4816238,Tm_H4K20me3,1.22394
LOC4816239,Hm_H3K9me2,1.1791
LOC4816239,Tm_H4K20me3,1.94254
LOC4816239,Tm_H4K16AC,0.736404
LOC4816239,Tm_H3K9me2,1.44913
LOC4816239,Hm_H4K20me3,1.19612
LOC4816239,Hm_H4K16AC,3.15823
LOC4816235,Tm_H4K16AC,0.882099
LOC4816235,Hm_H4K20me3,1.02285
LOC4816235,Tm_H3K9me2,0.844584
LOC4816235,Tm_H4K20me3,1.14859
LOC4816235,Hm_H4K16AC,1.62406
LOC4816235,Hm_H3K9me2,1.01922
LOC4816232,Tm_H4K16AC,1.21554
LOC4816232,Hm_H4K20me3,1.03784
LOC4816232,Hm_H4K16AC,0.964512
LOC4816232,Hm_H3K9me2,1.09066
LOC4816232,Tm_H4K20me3,1.02505
LOC4816232,Tm_H3K9me2,0.8354
LOC4816231,Hm_H3K9me2,0.804161
LOC4816231,Hm_H4K20me3,0.717588
LOC4816231,Tm_H4K20me3,0.817285
LOC4816231,Hm_H4K16AC,0.78117
LOC4816231,Tm_H4K16AC,1.17894
LOC4816231,Tm_H3K9me2,0.864897
LOC6903404,Hm_H3K9me2,0.89342
LOC6903404,Tm_H4K20me3,0.958612
LOC6903404,Tm_H4K16AC,0.937774
LOC6903404,Hm_H4K20me3,0.952092
LOC6903404,Tm_H3K9me2,0.716514
LOC6903404,Hm_H4K16AC,0.942589
LOC4818099,Hm_H3K9me2,0.891185
LOC4818099,Hm_H4K20me3,0.886064
LOC4818099,Tm_H4K16AC,0.977099
LOC4818099,Tm_H4K20me3,0.852703
LOC4818099,Tm_H3K9me2,0.815364
LOC4818099,Hm_H4K16AC,0.553845
LOC4818166,Hm_H4K20me3,0.764702
LOC4818166,Tm_H4K20me3,0.80095
LOC4818166,Tm_H3K9me2,0.678839
LOC4818166,Hm_H3K9me2,0.605298
LOC4818166,Tm_H4K16AC,1.16036
LOC4818166,Hm_H4K16AC,0.565676
LOC4818131,Tm_H3K9me2,0.697322
LOC4818131,Hm_H4K20me3,1.20209
LOC4818131,Hm_H4K16AC,1.0868
LOC4818131,Tm_H4K20me3,0.72039
LOC4818131,Tm_H4K16AC,1.37869
LOC4818131,Hm_H3K9me2,1.08332
LOC6903405,Hm_H4K20me3,0.80152
LOC6903405,Hm_H3K9me2,0.929213
LOC6903405,Tm_H4K16AC,1.23048
LOC6903405,Tm_H3K9me2,0.819351
LOC6903405,Tm_H4K20me3,1.1116
LOC6903405,Hm_H4K16AC,1.29515
LOC4817818,Tm_H4K20me3,0.794706
LOC4817818,Hm_H4K16AC,0.465474
LOC4817818,Tm_H4K16AC,1.08347
LOC4817818,Hm_H4K20me3,1.15602
LOC4817818,Tm_H3K9me2,0.702796
LOC4817818,Hm_H3K9me2,1.07781
LOC4818118,Hm_H4K20me3,1.00954
LOC4818118,Hm_H3K9me2,0.946471
LOC4818118,Hm_H4K16AC,0.806197
LOC4818118,Tm_H4K16AC,1.47211
LOC4818118,Tm_H4K20me3,0.772415
LOC4818118,Tm_H3K9me2,0.752666
LOC4817856,Hm_H4K20me3,0.988696
LOC4817856,Hm_H4K16AC,1.76857
LOC4817856,Hm_H3K9me2,1.1536
LOC4817856,Tm_H4K16AC,1.10985
LOC4817856,Tm_H4K20me3,1.76658
LOC4817856,Tm_H3K9me2,1.1518
LOC4817844,Hm_H4K16AC,0.87425
LOC4817844,Tm_H3K9me2,0.987184
LOC4817844,Tm_H4K20me3,1.31949
LOC4817844,Hm_H3K9me2,0.920983
LOC4817844,Tm_H4K16AC,1.47101
LOC4817844,Hm_H4K20me3,0.912189
LOC6903411,Hm_H3K9me2,1.04468
LOC6903411,Tm_H4K16AC,1.02727
LOC6903411,Tm_H4K20me3,1.40755
LOC6903411,Hm_H4K16AC,1.36195
LOC6903411,Tm_H3K9me2,0.79312
LOC6903411,Hm_H4K20me3,1.38435
LOC4818143,Tm_H4K20me3,0.789806
LOC4818143,Hm_H4K20me3,0.752881
LOC4818143,Tm_H3K9me2,0.661917
LOC4818143,Tm_H4K16AC,1.3315
LOC4818143,Hm_H3K9me2,0.724367
LOC4818143,Hm_H4K16AC,0.895547
LOC4817919,Tm_H3K9me2,0.995294
LOC4817919,Hm_H4K20me3,1.03751
LOC4817919,Tm_H4K16AC,1.37016
LOC4817919,Hm_H3K9me2,0.936341
LOC4817919,Tm_H4K20me3,1.10119
LOC4817919,Hm_H4K16AC,1.41141
LOC4817829,Hm_H4K16AC,1.44276
LOC4817829,Hm_H4K20me3,1.37672
LOC4817829,Tm_H3K9me2,0.698185
LOC4817829,Tm_H4K16AC,1.15752
LOC4817829,Hm_H3K9me2,0.931336
LOC4817829,Tm_H4K20me3,0.946304
LOC4816252,Hm_H4K16AC,1.07457
LOC4816252,Tm_H4K16AC,1.26297
LOC4816252,Hm_H4K20me3,1.04028
LOC4816252,Tm_H4K20me3,1.13584
LOC4816252,Hm_H3K9me2,0.917327
LOC4816252,Tm_H3K9me2,0.803563
LOC4816131,Tm_H4K16AC,0.922687
LOC4816131,Hm_H3K9me2,0.959929
LOC4816131,Hm_H4K20me3,0.937983
LOC4816131,Tm_H3K9me2,0.921499
LOC4816131,Hm_H4K16AC,0.630835
LOC4816131,Tm_H4K20me3,0.874429
LOC4816265,Tm_H4K20me3,0.645394
LOC4816265,Hm_H4K20me3,0.645128
LOC4816265,Hm_H4K16AC,0.679575
LOC4816265,Hm_H3K9me2,0.815575
LOC4816265,Tm_H4K16AC,0.781144
LOC4816265,Tm_H3K9me2,0.733217
LOC4816264,Hm_H3K9me2,1.0678
LOC4816264,Tm_H4K20me3,0.948924
LOC4816264,Hm_H4K16AC,0.688762
LOC4816264,Tm_H4K16AC,0.912802
LOC4816264,Hm_H4K20me3,0.995693
LOC4816264,Tm_H3K9me2,0.847483
LOC6897050,Tm_H3K9me2,0.753046
LOC6897050,Hm_H4K20me3,1.2545
LOC6897050,Hm_H3K9me2,1.10576
LOC6897050,Tm_H4K16AC,1.65193
LOC6897050,Tm_H4K20me3,1.15335
LOC6897050,Hm_H4K16AC,1.78855
LOC6897051,Tm_H3K9me2,0.773888
LOC6897051,Tm_H4K20me3,1.07664
LOC6897051,Hm_H3K9me2,0.809788
LOC6897051,Hm_H4K20me3,0.875946
LOC6897051,Hm_H4K16AC,1.40695
LOC6897051,Tm_H4K16AC,1.6286
LOC4816177,Hm_H3K9me2,0.710161
LOC4816177,Hm_H4K20me3,0.890712
LOC4816177,Tm_H3K9me2,1.0352
LOC4816177,Hm_H4K16AC,0.575618
LOC4816177,Tm_H4K20me3,0.432493
LOC4816177,Tm_H4K16AC,1.66723
LOC4818004,Hm_H4K20me3,1.07042
LOC4818004,Tm_H4K16AC,0.897991
LOC4818004,Hm_H3K9me2,1.04967
LOC4818004,Tm_H3K9me2,1.11802
LOC4818004,Tm_H4K20me3,0.912486
LOC4818004,Hm_H4K16AC,0.720559
LOC6903530,Tm_H4K16AC,1.17976
LOC6903530,Tm_H4K20me3,0.850373
LOC6903530,Hm_H3K9me2,0.855519
LOC6903530,Tm_H3K9me2,0.915826
LOC6903530,Hm_H4K20me3,0.741123
LOC6903530,Hm_H4K16AC,0.826894
LOC4818042,Hm_H3K9me2,1.53304
LOC4818042,Tm_H4K16AC,1.08415
LOC4818042,Hm_H4K20me3,1.35876
LOC4818042,Tm_H3K9me2,1.42846
LOC4818042,Hm_H4K16AC,2.28965
LOC4818042,Tm_H4K20me3,2.02815
LOC6902363,Tm_H4K16AC,1.04055
LOC6902363,Hm_H3K9me2,1.5501
LOC6902363,Tm_H3K9me2,1.05482
LOC6902363,Hm_H4K16AC,1.71105
LOC6902363,Hm_H4K20me3,1.68043
LOC6902363,Tm_H4K20me3,1.70917
LOC4818167,Tm_H4K16AC,0.783811
LOC4818167,Hm_H3K9me2,1.43031
LOC4818167,Hm_H4K20me3,1.12327
LOC4818167,Hm_H4K16AC,3.08613
LOC4818167,Tm_H4K20me3,1.81056
LOC4818167,Tm_H3K9me2,1.44443
LOC4817987,Hm_H4K20me3,0.917356
LOC4817987,Hm_H3K9me2,1.01792
LOC4817987,Hm_H4K16AC,0.98417
LOC4817987,Tm_H3K9me2,1.14991
LOC4817987,Tm_H4K16AC,0.879532
LOC4817987,Tm_H4K20me3,0.937947
LOC4818138,Tm_H4K16AC,0.839138
LOC4818138,Hm_H4K16AC,1.72004
LOC4818138,Hm_H3K9me2,1.34952
LOC4818138,Hm_H4K20me3,1.27507
LOC4818138,Tm_H4K20me3,1.60626
LOC4818138,Tm_H3K9me2,1.49779
LOC4817891,Tm_H3K9me2,0.993158
LOC4817891,Hm_H3K9me2,0.91605
LOC4817891,Tm_H4K20me3,0.859226
LOC4817891,Tm_H4K16AC,0.924872
LOC4817891,Hm_H4K16AC,0.893082
LOC4817891,Hm_H4K20me3,0.87701
LOC6902344,Tm_H4K16AC,1.0451
LOC6902344,Hm_H3K9me2,1.47253
LOC6902344,Hm_H4K16AC,1.8268
LOC6902344,Tm_H4K20me3,1.587
LOC6902344,Hm_H4K20me3,1.39098
LOC6902344,Tm_H3K9me2,1.06087
LOC4816254,Tm_H4K16AC,0.738387
LOC4816254,Hm_H4K20me3,1.4612
LOC4816254,Tm_H3K9me2,1.11264
LOC4816254,Tm_H4K20me3,2.14217
LOC4816254,Hm_H4K16AC,1.13246
LOC4816254,Hm_H3K9me2,1.08793
LOC6902347,Tm_H4K16AC,0.780599
LOC6902347,Hm_H3K9me2,1.3782
LOC6902347,Hm_H4K16AC,1.30405
LOC6902347,Hm_H4K20me3,1.68271
LOC6902347,Tm_H3K9me2,0.913259
LOC6902347,Tm_H4K20me3,1.59637
LOC4816179,Hm_H4K16AC,0.761375
LOC4816179,Tm_H4K20me3,0.872407
LOC4816179,Hm_H4K20me3,0.944482
LOC4816179,Hm_H3K9me2,0.930418
LOC4816179,Tm_H3K9me2,0.784886
LOC4816179,Tm_H4K16AC,0.941771
LOC4816114,Hm_H4K20me3,0.860088
LOC4816114,Hm_H3K9me2,0.931583
LOC4816114,Tm_H3K9me2,0.855604
LOC4816114,Tm_H4K20me3,0.86364
LOC4816114,Hm_H4K16AC,0.695342
LOC4816114,Tm_H4K16AC,0.898988
LOC4816261,Hm_H4K16AC,1.61862
LOC4816261,Hm_H3K9me2,1.1766
LOC4816261,Hm_H4K20me3,1.26778
LOC4816261,Tm_H4K20me3,1.3119
LOC4816261,Tm_H3K9me2,1.06007
LOC4816261,Tm_H4K16AC,1.24178
LOC4816172,Tm_H3K9me2,1.23712
LOC4816172,Hm_H3K9me2,1.15705
LOC4816172,Tm_H4K16AC,0.997192
LOC4816172,Tm_H4K20me3,1.37733
LOC4816172,Hm_H4K20me3,1.20719
LOC4816172,Hm_H4K16AC,1.21675
LOC4816213,Tm_H3K9me2,0.962454
LOC4816213,Hm_H4K16AC,0.778574
LOC4816213,Hm_H3K9me2,0.761777
LOC4816213,Tm_H4K20me3,1.01546
LOC4816213,Hm_H4K20me3,0.910382
LOC4816213,Tm_H4K16AC,1.26617
LOC4816196,Tm_H4K20me3,1.68937
LOC4816196,Hm_H3K9me2,1.10109
LOC4816196,Hm_H4K16AC,1.60987
LOC4816196,Tm_H4K16AC,1.14399
LOC4816196,Tm_H3K9me2,1.30738
LOC4816196,Hm_H4K20me3,1.24707
LOC4816142,Hm_H4K16AC,0.813911
LOC4816142,Tm_H4K16AC,1.57989
LOC4816142,Hm_H3K9me2,0.848638
LOC4816142,Tm_H4K20me3,0.725163
LOC4816142,Hm_H4K20me3,1.02303
LOC4816142,Tm_H3K9me2,0.636163
LOC4816123,Tm_H4K20me3,1.01504
LOC4816123,Tm_H3K9me2,0.891357
LOC4816123,Tm_H4K16AC,1.20891
LOC4816123,Hm_H4K20me3,1.10339
LOC4816123,Hm_H4K16AC,0.540353
LOC4816123,Hm_H3K9me2,0.947317
LOC4816195,Tm_H4K20me3,1.17041
LOC4816195,Tm_H3K9me2,0.899328
LOC4816195,Hm_H3K9me2,1.11449
LOC4816195,Hm_H4K16AC,1.02221
LOC4816195,Tm_H4K16AC,1.41258
LOC4816195,Hm_H4K20me3,1.05547
LOC4816141,Hm_H4K16AC,1.17986
LOC4816141,Tm_H4K20me3,1.32379
LOC4816141,Hm_H3K9me2,1.29271
LOC4816141,Tm_H3K9me2,0.882117
LOC4816141,Tm_H4K16AC,0.983604
LOC4816141,Hm_H4K20me3,1.55496
LOC4816107,Hm_H3K9me2,0.679676
LOC4816107,Tm_H3K9me2,0.767042
LOC4816107,Tm_H4K20me3,0.904858
LOC4816107,Hm_H4K16AC,0.859504
LOC4816107,Tm_H4K16AC,1.20652
LOC4816107,Hm_H4K20me3,0.889991
LOC4816108,Tm_H4K16AC,1.32603
LOC4816108,Tm_H4K20me3,1.16234
LOC4816108,Tm_H3K9me2,0.917744
LOC4816108,Hm_H4K16AC,0.874063
LOC4816108,Hm_H3K9me2,1.00926
LOC4816108,Hm_H4K20me3,1.46843
LOC4818003,Tm_H4K20me3,0.765738
LOC4818003,Hm_H4K16AC,1.12733
LOC4818003,Hm_H4K20me3,1.1064
LOC4818003,Tm_H3K9me2,0.997173
LOC4818003,Hm_H3K9me2,1.13995
LOC4818003,Tm_H4K16AC,1.14379
LOC4817900,Hm_H4K16AC,0.845847
LOC4817900,Tm_H4K20me3,0.649611
LOC4817900,Tm_H4K16AC,1.39252
LOC4817900,Tm_H3K9me2,0.783788
LOC4817900,Hm_H3K9me2,0.906431
LOC4817900,Hm_H4K20me3,0.853194
LOC4818089,Tm_H3K9me2,0.709296
LOC4818089,Tm_H4K16AC,1.4285
LOC4818089,Hm_H4K20me3,0.841014
LOC4818089,Hm_H4K16AC,0.999203
LOC4818089,Tm_H4K20me3,0.668293
LOC4818089,Hm_H3K9me2,1.06095
LOC4818088,Tm_H4K20me3,0.659079
LOC4818088,Hm_H4K20me3,0.592035
LOC4818088,Hm_H3K9me2,0.765361
LOC4818088,Tm_H3K9me2,0.675269
LOC4818088,Tm_H4K16AC,1.03973
LOC4818088,Hm_H4K16AC,0.874966
LOC4817794,Tm_H4K20me3,0.877638
LOC4817794,Hm_H3K9me2,0.837591
LOC4817794,Tm_H3K9me2,0.772169
LOC4817794,Tm_H4K16AC,1.27672
LOC4817794,Hm_H4K20me3,0.83462
LOC4817794,Hm_H4K16AC,1.44914
LOC6903294,Tm_H3K9me2,0.618013
LOC6903294,Hm_H3K9me2,1.56609
LOC6903294,Hm_H4K20me3,1.43261
LOC6903294,Tm_H4K20me3,0.74321
LOC6903294,Tm_H4K16AC,1.60295
LOC6903294,Hm_H4K16AC,1.08357
LOC6903296,Tm_H4K16AC,0.966017
LOC6903296,Hm_H4K20me3,1.65524
LOC6903296,Hm_H4K16AC,1.31351
LOC6903296,Tm_H4K20me3,1.63041
LOC6903296,Hm_H3K9me2,1.46354
LOC6903296,Tm_H3K9me2,1.16617
LOC4817718,Tm_H4K20me3,0.931089
LOC4817718,Hm_H4K16AC,0.725071
LOC4817718,Tm_H4K16AC,0.92449
LOC4817718,Hm_H3K9me2,1.02796
LOC4817718,Hm_H4K20me3,1.04523
LOC4817718,Tm_H3K9me2,0.858099
LOC6903298,Tm_H4K20me3,0.773214
LOC6903298,Hm_H4K16AC,0.687882
LOC6903298,Hm_H3K9me2,1.04976
LOC6903298,Hm_H4K20me3,1.165
LOC6903298,Tm_H4K16AC,1.06956
LOC6903298,Tm_H3K9me2,0.862584
LOC6903307,Tm_H4K20me3,1.58301
LOC6903307,Hm_H4K20me3,1.78796
LOC6903307,Hm_H4K16AC,1.11232
LOC6903307,Hm_H3K9me2,1.97824
LOC6903307,Tm_H3K9me2,3.17734
LOC6903307,Tm_H4K16AC,0.924677
LOC4817742,Hm_H3K9me2,1.27969
LOC4817742,Tm_H4K20me3,1.00738
LOC4817742,Hm_H4K16AC,2.31456
LOC4817742,Tm_H3K9me2,1.0192
LOC4817742,Hm_H4K20me3,1.12309
LOC4817742,Tm_H4K16AC,1.10425
LOC4817765,Tm_H3K9me2,0.940642
LOC4817765,Hm_H3K9me2,0.976141
LOC4817765,Hm_H4K20me3,0.931469
LOC4817765,Tm_H4K16AC,1.31824
LOC4817765,Tm_H4K20me3,1.22575
LOC4817765,Hm_H4K16AC,2.2104
LOC4817780,Tm_H3K9me2,0.851959
LOC4817780,Hm_H4K20me3,0.683911
LOC4817780,Tm_H4K16AC,1.05239
LOC4817780,Hm_H4K16AC,0.522034
LOC4817780,Hm_H3K9me2,0.791425
LOC4817780,Tm_H4K20me3,0.691725
LOC4817199,Tm_H4K20me3,0.644856
LOC4817199,Hm_H4K16AC,0.726542
LOC4817199,Tm_H4K16AC,0.99221
LOC4817199,Hm_H3K9me2,0.858553
LOC4817199,Tm_H3K9me2,0.765177
LOC4817199,Hm_H4K20me3,0.710639
LOC4817032,Hm_H4K20me3,0.910947
LOC4817032,Tm_H4K16AC,0.925849
LOC4817032,Tm_H3K9me2,1.30788
LOC4817032,Hm_H4K16AC,0.712717
LOC4817032,Tm_H4K20me3,1.00676
LOC4817032,Hm_H3K9me2,0.980324
LOC4817223,Tm_H4K16AC,0.873043
LOC4817223,Tm_H4K20me3,1.12263
LOC4817223,Hm_H4K20me3,1.206
LOC4817223,Tm_H3K9me2,0.987355
LOC4817223,Hm_H3K9me2,1.04271
LOC4817223,Hm_H4K16AC,0.896828
LOC4816921,Tm_H4K16AC,1.00827
LOC4816921,Hm_H4K20me3,1.30235
LOC4816921,Hm_H4K16AC,0.849323
LOC4816921,Hm_H3K9me2,1.09287
LOC4816921,Tm_H4K20me3,1.30482
LOC4816921,Tm_H3K9me2,0.958126
LOC4817042,Hm_H4K16AC,0.445918
LOC4817042,Tm_H4K16AC,1.15775
LOC4817042,Tm_H4K20me3,0.648092
LOC4817042,Tm_H3K9me2,0.488778
LOC4817042,Hm_H4K20me3,0.89738
LOC4817042,Hm_H3K9me2,0.871436
LOC4818032,Tm_H4K16AC,1.17245
LOC4818032,Hm_H4K16AC,1.47259
LOC4818032,Tm_H4K20me3,1.46126
LOC4818032,Hm_H3K9me2,1.24077
LOC4818032,Tm_H3K9me2,1.06046
LOC4818032,Hm_H4K20me3,1.30049
LOC4818163,Tm_H4K16AC,0.931917
LOC4818163,Tm_H4K20me3,0.916492
LOC4818163,Hm_H4K20me3,1.15258
LOC4818163,Hm_H3K9me2,1.07198
LOC4818163,Tm_H3K9me2,1.01589
LOC4818163,Hm_H4K16AC,0.678201
LOC4818164,Tm_H4K20me3,1.17261
LOC4818164,Hm_H4K20me3,1.28242
LOC4818164,Hm_H3K9me2,1.053
LOC4818164,Hm_H4K16AC,0.506185
LOC4818164,Tm_H3K9me2,0.841452
LOC4818164,Tm_H4K16AC,1.06522
LOC4817928,Tm_H4K20me3,0.95968
LOC4817928,Tm_H3K9me2,0.938937
LOC4817928,Hm_H4K20me3,0.900441
LOC4817928,Hm_H3K9me2,0.882364
LOC4817928,Tm_H4K16AC,0.977328
LOC4817928,Hm_H4K16AC,0.463669
LOC4817887,Hm_H3K9me2,0.865976
LOC4817887,Tm_H3K9me2,0.913232
LOC4817887,Tm_H4K16AC,1.38005
LOC4817887,Hm_H4K20me3,0.946806
LOC4817887,Tm_H4K20me3,1.07884
LOC4817887,Hm_H4K16AC,2.2415
LOC4818098,Tm_H4K20me3,0.820145
LOC4818098,Tm_H3K9me2,0.842293
LOC4818098,Hm_H3K9me2,1.07168
LOC4818098,Tm_H4K16AC,1.04592
LOC4818098,Hm_H4K20me3,1.09116
LOC4818098,Hm_H4K16AC,0.821861
LOC4818165,Hm_H4K16AC,0.477484
LOC4818165,Tm_H3K9me2,0.902231
LOC4818165,Tm_H4K20me3,0.72778
LOC4818165,Hm_H3K9me2,0.922228
LOC4818165,Hm_H4K20me3,0.933109
LOC4818165,Tm_H4K16AC,0.805701
LOC4818130,Hm_H3K9me2,0.969995
LOC4818130,Tm_H3K9me2,0.809631
LOC4818130,Hm_H4K20me3,0.926614
LOC4818130,Tm_H4K20me3,0.765991
LOC4818130,Tm_H4K16AC,0.93582
LOC4818130,Hm_H4K16AC,0.759091
LOC4818038,Hm_H4K20me3,1.05989
LOC4818038,Tm_H3K9me2,1.15261
LOC4818038,Hm_H4K16AC,0.969813
LOC4818038,Tm_H4K16AC,1.19596
