Gene,M_carcass_FPKM,M_testis_FPKM,Testis2carcass
LOC6902355,0.271140369,22.38630281,82.56321742
LOC4814575,29.67038513,8.649741532,0.291527805
LOC4805716,6.045653554,1.42756368,0.236130706
LOC4811997,2.146338298,43.39002507,20.215828
LOC4803852,3.631845702,58.3567918,16.06807709
LOC4817417,1374.914163,7.482069744,0.005441846
LOC4813823,2.617402686,0.025176701,0.009619342
LOC4802726,13.09052395,42.62693303,3.256319682
LOC4812251,8.060987873,0.443186506,0.054979298
LOC4800324,406.6263599,180.803537,0.444642934
LOC4811696,48.72440705,9.466125332,0.19427894
LOC4803687,12.98121324,187.3371085,14.4314011
LOC6901818,0.313689342,3.093325714,9.861083697
LOC4802257,1.281111133,0.202789632,0.158292648
LOC4817545,11.93689525,11.19137354,0.937544761
LOC4802026,18.18440531,89.93380319,4.94565523
LOC4804201,2.932935204,0.08581532,0.029259525
LOC4813322,0.108782954,0.168910955,1.552728583
LOC4813231,0.858445378,0.165701072,0.193025536
LOC4801875,72.89716336,116.8588286,1.603064133
LOC4800827,56.40863825,42.26046938,0.749184361
LOC4814779,1.039024933,0.439051347,0.422561491
LOC4803249,0.967639792,0.749064315,0.774115066
LOC6902405,8.174113785,2.031425445,0.248519442
LOC4803163,53.98781908,20.7409123,0.38417764
LOC6901306,16.00915314,1.985453319,0.124019939
LOC4815465,13.27025224,12.79051233,0.963848474
LOC6900498,36.96924236,1.783645167,0.048246759
LOC4816479,6.549210671,1.281063754,0.195605947
LOC4800483,7.619337926,0.054058421,0.007095028
LOC4815303,9.400968315,8.710851331,0.926590869
LOC4802776,17.8285704,0,5.61E-08
LOC4802017,10.91693946,0.964865652,0.088382515
LOC6901255,3.661962432,2.844162697,0.776677252
LOC4816014,4.061361092,1.711724101,0.42146577
LOC4800853,29.60983263,2.030970562,0.068591117
LOC4816146,0.858174454,0.0159121,0.018542945
LOC6902148,4.784098111,0.002948022,0.000616422
LOC4815030,102.5295979,5.390545214,0.052575513
LOC4812096,9.236060434,7.365712923,0.79749512
LOC6901553,1.897266598,0.536997179,0.283037659
LOC4812981,10.60587696,2.331666954,0.219846765
LOC6899016,3.151889413,0.274392391,0.087056768
LOC4817240,9.60196251,6.016392728,0.626579524
LOC4816819,0.516852762,40.42043561,78.20478358
LOC4813122,0.629031857,0.037004737,0.058829577
LOC4802268,0,0.100176277,100177.277
LOC4801981,161.6284202,5.078936752,0.031423544
LOC4805418,2841.887801,364.4980522,0.128259129
LOC6902342,1397.226925,170.0356015,0.121695051
LOC4812830,0.119360228,0.014029038,0.117542675
LOC6898512,24.59729858,1.576263389,0.064082823
LOC4801197,0.039332659,0,2.54E-05
LOC4812849,69.53570838,15.30230974,0.220064063
LOC6899855,167.9871311,52.71147015,0.313782791
LOC4813295,2.99580569,0.30877828,0.103070496
LOC6900797,8.00885216,0.744620265,0.092974768
